Time,FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,AccX,AccY,AccZ,Gyro1,Gyro2,Gyro3,Battery,Counter,Validation
1043.1862538,66762.25,66853.0859375,67448.8046875,67034.2265625,66982.1875,67053.984375,67240.578125,67352.15625,0.356689453125,0.91650390625,0.230224609375,-2.044677495956421,-0.1831054538488388,0.6408690810203552,73.33333587646484,844.0,1.0
1043.1945043,64000.82421875,64090.94921875,64683.71484375,64270.8359375,64220.05078125,64290.68359375,64477.27734375,64589.21484375,0.354736328125,0.916015625,0.23193359375,-2.166747808456421,-0.1831054538488388,0.6103515028953552,73.33333587646484,845.0,1.0
1043.194512,66454.2421875,66545.4375,67140.171875,66726.3046875,66674.0078125,66745.796875,66932.125,67044.0625,0.35546875,0.91552734375,0.233642578125,-2.105712652206421,-0.2441406100988388,0.6408690810203552,73.33333587646484,846.0,1.0
1043.1963999,69671.640625,69763.640625,70361.6875,69945.8515625,69891.9375,69965.1640625,70151.21875,70263.515625,0.35400390625,0.915771484375,0.23095703125,-2.166747808456421,-0.2136230319738388,0.7934569716453552,73.33333587646484,847.0,1.0
1043.2101656,67765.0390625,67856.4140625,68452.7578125,68037.90625,67985.25,68057.3984375,68243.6328125,68355.6640625,0.354248046875,0.914306640625,0.23291015625,-2.227782964706421,-0.2746581733226776,0.9765624403953552,73.33333587646484,848.0,1.0
1043.2132303,64445.35546875,64535.66015625,65128.78515625,64715.8125,64664.4921875,64735.484375,64922.25390625,65033.74609375,0.35498046875,0.9150390625,0.229736328125,-2.258300542831421,-0.0610351525247097,1.0070799589157104,73.33333587646484,849.0,1.0
1043.2132365,66060.8515625,66151.6875,66746.15625,66332.203125,66280.34375,66352.046875,66538.4609375,66649.953125,0.35693359375,0.913818359375,0.231689453125,-2.319335699081421,-0.1831054538488388,0.9155272841453552,73.33333587646484,850.0,1.0
1043.2151611,69730.296875,69822.7421875,70420.3359375,70004.4140625,69950.7734375,70023.90625,70210.2265625,70322.078125,0.357666015625,0.911376953125,0.230224609375,-2.288818120956421,-0.0915527269244194,0.9460448622703552,73.33333587646484,851.0,1.0
1043.2189718,68719.90625,68812.0859375,69408.7890625,68993.578125,68940.203125,69012.984375,69199.21875,69311.0625,0.356689453125,0.91259765625,0.234375,-2.288818120956421,-0.0610351525247097,1.0681151151657104,73.33333587646484,852.0,1.0
1043.2332413,65063.25,65153.81640625,65747.484375,65334.2421875,65282.4765625,65353.91015625,65539.96875,65652.265625,0.358642578125,0.91259765625,0.235107421875,-2.349853277206421,-0.1831054538488388,1.0375975370407104,73.33333587646484,853.0,1.0
1043.2332478,65735.5,65826.25,66420.4453125,66007.03125,65954.90625,66026.4296875,66212.84375,66324.8671875,0.35791015625,0.9130859375,0.2333984375,-2.319335699081421,-0.1831054538488388,0.9765624403953552,73.33333587646484,854.0,1.0
1043.2357316,69619.1640625,69711.1640625,70309.296875,69893.015625,69839.546875,69912.4140625,70098.921875,70210.765625,0.356689453125,0.911376953125,0.2353515625,-2.410888433456421,-0.1831054538488388,1.0681151151657104,73.33333587646484,855.0,1.0
1043.2357382,69580.1796875,69672.359375,70270.1328125,69854.3046875,69800.65625,69873.703125,70059.84375,70171.78125,0.357666015625,0.909423828125,0.23486328125,-2.410888433456421,-0.2746581733226776,0.9460448622703552,73.33333587646484,856.0,1.0
1043.2376553,65834.5625,65925.3125,66519.5078125,66106.453125,66053.96875,66125.671875,66312.3515625,66423.84375,0.357666015625,0.90869140625,0.2353515625,-2.441406011581421,-0.2441406100988388,1.0375975370407104,73.33333587646484,857.0,1.0
1043.2570163,65522.7109375,65613.4609375,66207.4765625,65794.2421875,65742.203125,65813.375,66000.3203125,66111.90625,0.359130859375,0.90771484375,0.23779296875,-2.441406011581421,-0.2441406100988388,1.0375975370407104,73.33333587646484,858.0,1.0
1043.2570236,69366.3203125,69458.40625,70056.0,69640.2578125,69586.8828125,69659.75,69845.984375,69957.8359375,0.35986328125,0.906982421875,0.237548828125,-2.258300542831421,-0.2136230319738388,0.9460448622703552,73.33333587646484,859.0,1.0
1043.2600786,70307.1484375,70399.328125,70997.546875,70581.1796875,70527.359375,70600.7578125,70786.9921875,70898.75,0.35693359375,0.90673828125,0.238525390625,-2.258300542831421,-0.2441406100988388,0.9765624403953552,73.33333587646484,860.0,1.0
1043.2600845,66723.359375,66814.640625,67408.9296875,66994.796875,66942.4921875,67014.6484375,67201.234375,67312.546875,0.360107421875,0.906494140625,0.237060546875,-2.227782964706421,-0.2441406100988388,0.9765624403953552,73.33333587646484,861.0,1.0
1043.2600869,65451.54296875,65542.3828125,66136.21875,65722.984375,65670.59375,65742.4765625,65929.0625,66040.375,0.360595703125,0.90625,0.237060546875,-2.258300542831421,-0.1831054538488388,0.8850097060203552,73.33333587646484,862.0,1.0
1043.2626473,69006.1875,69098.0078125,69695.515625,69279.859375,69226.484375,69299.171875,69485.765625,69597.703125,0.360107421875,0.90625,0.24072265625,-2.258300542831421,-0.1831054538488388,0.8850097060203552,73.33333587646484,863.0,1.0
1043.2676629,70869.4296875,70961.875,71561.171875,71143.8203125,71090.265625,71163.0390625,71349.9921875,71461.9296875,0.35986328125,0.9072265625,0.240966796875,-2.288818120956421,-0.1525878757238388,0.8850097060203552,73.33333587646484,864.0,1.0
1043.2701526,67688.6875,67780.328125,68377.03125,67961.9140625,67908.625,67980.6875,68167.640625,68279.3984375,0.35986328125,0.904052734375,0.240478515625,-2.197265386581421,-0.1525878757238388,0.9155272841453552,73.33333587646484,865.0,1.0
1043.2789767,65552.125,65642.78125,66237.4296875,65824.015625,65771.4453125,65842.6953125,66029.828125,66141.5859375,0.359619140625,0.90234375,0.241455078125,-2.136230230331421,-0.1220703050494194,0.9460448622703552,73.33333587646484,866.0,1.0
1043.2863314,68590.890625,68682.53125,69279.5,68863.9375,68810.921875,68883.25,69069.3984375,69181.6953125,0.360595703125,0.9033203125,0.243408203125,-2.044677495956421,-0.1831054538488388,0.7324218153953552,73.33333587646484,867.0,1.0
1043.2863387,71252.625,71344.890625,71944.1015625,71526.9296875,71473.5546875,71546.4140625,71732.6484375,71845.0390625,0.361328125,0.905029296875,0.242431640625,-2.136230230331421,-0.2746581733226776,0.7019042372703552,73.33333587646484,868.0,1.0
1043.2863425,68688.96875,68780.4375,69377.40625,68961.75,68909.5390625,68981.6015625,69167.7421875,69279.6796875,0.3623046875,0.904296875,0.24072265625,-1.9836424589157104,-0.2746581733226776,0.7019042372703552,73.33333587646484,869.0,1.0
1043.2887663,65831.34375,65921.6484375,66516.2890625,66102.515625,66050.65625,66121.828125,66308.6015625,66420.1796875,0.362060546875,0.90576171875,0.24267578125,-1.8920897245407104,-0.2441406100988388,0.7934569716453552,73.33333587646484,870.0,1.0
1043.2964215,68158.1640625,68249.0859375,68845.703125,68430.671875,68377.65625,68449.4453125,68636.3125,68748.515625,0.361328125,0.90576171875,0.240234375,-1.9226073026657104,-0.2136230319738388,0.7324218153953552,73.33333587646484,871.0,1.0
1043.310731,71452.984375,71545.5234375,72145.0,71727.9140625,71673.5546875,71746.6875,71933.546875,72046.0234375,0.3623046875,0.90478515625,0.2373046875,-1.8615721464157104,-0.2136230319738388,0.6713866591453552,73.33333587646484,872.0,1.0
1043.3107384,69681.03125,69773.2109375,70371.0703125,69954.796875,69901.328125,69973.75,70161.0546875,70272.90625,0.3623046875,0.90380859375,0.2373046875,-1.9836424589157104,-0.2441406100988388,0.4882812201976776,73.33333587646484,873.0,1.0
1043.3175747,66294.0234375,66384.5078125,66979.6015625,66565.5546875,66513.5234375,66584.8671875,66771.90625,66883.484375,0.36181640625,0.905517578125,0.2412109375,-1.9226073026657104,-0.1831054538488388,0.5493163466453552,73.33333587646484,874.0,1.0
1043.3175808,67759.40625,67850.421875,68446.2265625,68031.828125,67979.34375,68050.875,68237.9140625,68349.671875,0.361328125,0.90625,0.2421875,-1.8920897245407104,-0.2441406100988388,0.5187987685203552,73.33333587646484,875.0,1.0
1043.3175832,71469.4375,71561.8828125,72161.09375,71744.2734375,71690.359375,71763.046875,71950.1796875,72062.03125,0.360107421875,0.906494140625,0.237548828125,-1.8005369901657104,-0.1220703050494194,0.5798339247703552,73.33333587646484,876.0,1.0
1043.3207452,70608.359375,70700.625,71299.65625,70882.9296875,70828.75,70901.703125,71088.4765625,71200.6796875,0.358642578125,0.907958984375,0.2373046875,-1.8615721464157104,-0.2746581733226776,0.5493163466453552,73.33333587646484,877.0,1.0
1043.3207543,66924.2578125,67015.359375,67611.2578125,67196.765625,67144.109375,67215.71875,67402.4921875,67514.609375,0.35986328125,0.90966796875,0.234375,-1.7700194120407104,-0.2136230319738388,0.4272460639476776,73.33333587646484,878.0,1.0
1043.3226633,67439.328125,67530.6171875,68126.8671875,67712.109375,67659.4453125,67730.9765625,67917.8359375,68029.59375,0.35888671875,0.908935546875,0.236572265625,-1.6784666776657104,-0.1831054538488388,0.4577636420726776,73.33333587646484,879.0,1.0
1043.3301487,71323.4375,71415.8828125,72015.984375,71598.71875,71544.2734375,71617.2265625,71804.359375,71916.5625,0.36083984375,0.90966796875,0.2373046875,-1.7089842557907104,-0.2441406100988388,0.4272460639476776,73.33333587646484,880.0,1.0
1043.333969,71434.65625,71527.4609375,72126.7578125,71710.125,71655.3125,71728.453125,71915.671875,72027.9609375,0.361328125,0.907958984375,0.237060546875,-1.6479490995407104,-0.2746581733226776,0.4577636420726776,73.33333587646484,881.0,1.0
1043.3482357,67699.0546875,67790.609375,68386.328125,67971.9296875,67918.640625,67990.96875,68177.3828125,68289.5,0.361083984375,0.908935546875,0.236572265625,-1.8005369901657104,-0.1831054538488388,0.3967284858226776,73.33333587646484,882.0,1.0
1043.348243,67233.6015625,67324.6171875,67920.0703125,67506.203125,67453.1875,67524.890625,67711.5703125,67823.8671875,0.360595703125,0.910400390625,0.23486328125,-1.8310545682907104,-0.2136230319738388,0.3051757514476776,73.33333587646484,883.0,1.0
1043.350151,71041.0859375,71133.359375,71732.3828125,71315.8359375,71261.8359375,71335.0625,71521.6484375,71633.859375,0.361083984375,0.90966796875,0.23095703125,-1.7395018339157104,-0.1220703050494194,0.4577636420726776,73.33333587646484,884.0,1.0
1043.3532307,72129.4375,72221.796875,72822.078125,72404.3671875,72350.0078125,72423.765625,72610.359375,72722.5625,0.359619140625,0.910888671875,0.232421875,-1.7700194120407104,-0.2441406100988388,0.5187987685203552,73.33333587646484,885.0,1.0
1043.3532377,68594.734375,68686.2890625,69283.078125,68867.78125,68814.6796875,68887.09375,69073.6875,69185.890625,0.36083984375,0.910400390625,0.2333984375,-1.7395018339157104,-0.1831054538488388,0.4882812201976776,73.33333587646484,886.0,1.0
1043.3551438,67181.65625,67273.296875,67868.390625,67454.2578125,67401.5078125,67473.5703125,67659.8984375,67771.921875,0.35888671875,0.91064453125,0.231201171875,-1.7395018339157104,-0.1220703050494194,0.5493163466453552,73.33333587646484,887.0,1.0
1043.3676506,70665.1328125,70757.578125,71356.0703125,70939.609375,70885.703125,70958.921875,71145.0703125,71257.6328125,0.359619140625,0.911376953125,0.230224609375,-1.7395018339157104,-0.3051757514476776,0.4577636420726776,73.33333587646484,888.0,1.0
1043.3707368,72658.5546875,72751.53125,73351.9921875,72934.1015625,72879.65625,72953.328125,73139.921875,73252.3046875,0.359619140625,0.91259765625,0.232177734375,-1.8005369901657104,-0.2441406100988388,0.6103515028953552,73.33333587646484,889.0,1.0
1043.3707443,69562.1171875,69654.1171875,70251.890625,69836.0625,69782.7734375,69855.5546875,70042.0546875,70153.9921875,0.359619140625,0.913818359375,0.23291015625,-1.7700194120407104,-0.2746581733226776,0.6103515028953552,73.33333587646484,890.0,1.0
1043.3726545,67299.3203125,67390.3359375,67986.5,67571.921875,67519.6171875,67591.5,67778.0,67889.9375,0.35986328125,0.91259765625,0.228271484375,-1.8920897245407104,-0.1831054538488388,0.6713866591453552,73.33333587646484,891.0,1.0
1043.381402,70236.6953125,70328.78125,70927.2734375,70511.0859375,70457.53125,70530.7578125,70716.8125,70829.1953125,0.359375,0.914794921875,0.22998046875,-1.8005369901657104,-0.1525878757238388,0.6408690810203552,73.33333587646484,892.0,1.0
1043.388246,73008.21875,73101.4765625,73702.0234375,73283.953125,73230.0390625,73303.53125,73489.859375,73602.2421875,0.359375,0.914306640625,0.23095703125,-1.8310545682907104,-0.2136230319738388,0.6408690810203552,73.33333587646484,893.0,1.0
1043.3882532,70553.4609375,70645.9140625,71244.671875,70828.390625,70774.390625,70847.34375,71033.671875,71145.6953125,0.360595703125,0.91259765625,0.228759765625,-1.9531248807907104,-0.2746581733226776,0.6408690810203552,73.33333587646484,894.0,1.0
1043.390148,67598.6484375,67690.296875,68286.4609375,67872.0625,67818.859375,67891.1953125,68077.0703125,68189.453125,0.360107421875,0.9140625,0.2314453125,-1.9226073026657104,-0.2746581733226776,0.7324218153953552,73.33333587646484,895.0,1.0
1043.3993389,69801.28125,69893.1015625,70491.1484375,70075.046875,70021.8515625,70094.5390625,70280.59375,70392.796875,0.3583984375,0.91455078125,0.231689453125,-1.9836424589157104,-0.2746581733226776,0.6408690810203552,73.33333587646484,896.0,1.0
1043.3993469,73173.984375,73266.875,73867.6875,73449.53125,73395.625,73469.1171875,73655.53125,73767.734375,0.361572265625,0.914306640625,0.229736328125,-1.9836424589157104,-0.1831054538488388,0.7019042372703552,73.33333587646484,897.0,1.0
1043.4051537,71529.875,71622.5,72222.15625,71804.890625,71751.25,71824.0234375,72010.7109375,72122.9140625,0.36083984375,0.914306640625,0.228759765625,-1.9836424589157104,-0.2136230319738388,0.8239745497703552,73.33333587646484,898.0,1.0
1043.4076577,68080.375,68171.75,68768.1875,68353.4296875,68300.5,68372.5625,68559.421875,68671.0859375,0.3583984375,0.91357421875,0.229248046875,-1.9836424589157104,-0.3356933295726776,0.7629393935203552,73.33333587646484,899.0,1.0
1043.410166,69409.140625,69500.7890625,70098.1171875,69682.640625,69629.625,69702.1328125,69888.453125,70000.390625,0.360595703125,0.913330078125,0.23095703125,-2.105712652206421,-0.3051757514476776,0.7934569716453552,73.33333587646484,900.0,1.0
1043.418972,73163.1640625,73255.8828125,73856.515625,73438.625,73384.265625,73458.203125,73644.6171875,73756.5546875,0.360107421875,0.912353515625,0.229248046875,-2.197265386581421,-0.2441406100988388,0.8239745497703552,73.33333587646484,901.0,1.0
1043.4220137,72443.703125,72536.6015625,73136.703125,72719.171875,72664.8984375,72738.65625,72924.890625,73036.5625,0.360107421875,0.912353515625,0.232666015625,-2.197265386581421,-0.2441406100988388,0.6713866591453552,73.33333587646484,902.0,1.0
1043.4220205,68731.4375,68823.078125,69420.40625,69005.1171875,68951.6484375,69023.9765625,69210.5703125,69322.421875,0.36083984375,0.9130859375,0.232421875,-2.166747808456421,-0.2441406100988388,0.7324218153953552,73.33333587646484,903.0,1.0
1043.4326522,69098.546875,69190.3671875,69787.9609375,69372.3046875,69318.84375,69391.3515625,69577.765625,69689.8828125,0.361328125,0.912109375,0.234619140625,-2.075195074081421,-0.2441406100988388,0.8544921278953552,73.33333587646484,904.0,1.0
1043.4357317,72992.21875,73084.6640625,73685.2109375,73267.4140625,73213.4140625,73286.9921875,73473.2265625,73585.4296875,0.360595703125,0.909912109375,0.230712890625,-2.136230230331421,-0.1831054538488388,0.8239745497703552,73.33333587646484,905.0,1.0
1043.4357391,73252.8359375,73345.8203125,73946.4609375,73528.484375,73474.4765625,73548.0625,73734.4765625,73846.5,0.361572265625,0.9111328125,0.23193359375,-2.136230230331421,-0.2746581733226776,0.8544921278953552,73.33333587646484,906.0,1.0
1043.4376501,69526.53125,69618.625,70216.1328125,69800.390625,69747.4609375,69819.7890625,70006.0234375,70118.0546875,0.362060546875,0.91162109375,0.230224609375,-2.044677495956421,-0.2746581733226776,0.8239745497703552,73.33333587646484,907.0,1.0
1043.4463953,68912.1328125,69003.859375,69601.0078125,69185.890625,69132.7890625,69205.03125,69391.265625,69503.2890625,0.360595703125,0.91015625,0.234619140625,-2.044677495956421,-0.1220703050494194,0.7934569716453552,73.33333587646484,908.0,1.0
1043.4494919,72691.3671875,72784.1640625,73384.4453125,72966.6484375,72912.828125,72986.140625,73172.28125,73284.9375,0.3603515625,0.91015625,0.236083984375,-2.136230230331421,-0.2136230319738388,0.8239745497703552,73.33333587646484,909.0,1.0
1043.449499,73921.15625,74014.3203125,74615.7578125,74197.0625,74143.15625,74216.6484375,74402.7890625,74515.7109375,0.360107421875,0.909912109375,0.2333984375,-2.105712652206421,-0.2136230319738388,0.7934569716453552,73.33333587646484,910.0,1.0
1043.4514224,70435.359375,70527.4453125,71126.5625,70710.015625,70656.7265625,70729.0625,70915.46875,71027.859375,0.36083984375,0.909912109375,0.2353515625,-2.075195074081421,-0.2746581733226776,0.7629393935203552,73.33333587646484,911.0,1.0
1043.4657253,68880.390625,68972.2109375,69569.71875,69153.9765625,69100.9609375,69173.109375,69359.609375,69471.90625,0.361328125,0.9091796875,0.234619140625,-2.014159917831421,-0.1831054538488388,0.7324218153953552,73.33333587646484,912.0,1.0
1043.4657325,72294.3984375,72387.5546875,72987.4765625,72569.7734375,72515.859375,72588.9921875,72775.5859375,72888.0625,0.36279296875,0.90966796875,0.23583984375,-2.075195074081421,-0.1831054538488388,0.7629393935203552,73.33333587646484,913.0,1.0
1043.467645,74417.453125,74511.15625,75112.6796875,74693.8125,74639.453125,74713.5703125,74899.8046875,75012.1015625,0.36083984375,0.90869140625,0.23388671875,-2.014159917831421,-0.1525878757238388,0.7019042372703552,73.33333587646484,914.0,1.0
1043.4701604,71400.953125,71493.84375,72092.78125,71676.1484375,71622.234375,71695.28125,71882.140625,71993.8984375,0.3603515625,0.908447265625,0.235107421875,-2.105712652206421,-0.0610351525247097,0.6713866591453552,73.33333587646484,915.0,1.0
1043.4739688,69017.1796875,69109.2734375,69706.421875,69291.125,69237.5703125,69310.078125,69496.765625,69608.609375,0.361572265625,0.908447265625,0.236572265625,-2.075195074081421,-0.1220703050494194,0.6408690810203552,73.33333587646484,916.0,1.0
1043.4882304,71850.3125,71943.1171875,72542.59375,72125.4140625,72071.5078125,72144.8203125,72331.4140625,72443.171875,0.35986328125,0.908935546875,0.235107421875,-2.075195074081421,-0.1525878757238388,0.7019042372703552,73.33333587646484,917.0,1.0
1043.4882377,74730.203125,74823.6328125,75425.25,75006.2890625,74951.84375,75026.140625,75212.640625,75324.7578125,0.36083984375,0.910888671875,0.234375,-2.044677495956421,-0.1831054538488388,0.5798339247703552,73.33333587646484,918.0,1.0
1043.4901405,72388.2734375,72481.1640625,73081.1796875,72663.828125,72609.46875,72683.3203125,72869.640625,72981.6640625,0.359130859375,0.91064453125,0.233642578125,-2.014159917831421,-0.2746581733226776,0.5798339247703552,73.33333587646484,919.0,1.0
1043.5088313,69341.375,69433.375,70031.234375,69615.3125,69561.671875,69634.71875,69820.859375,69933.0703125,0.361328125,0.9111328125,0.232177734375,-1.9531248807907104,-0.1831054538488388,0.6408690810203552,73.33333587646484,920.0,1.0
1043.5088382,71413.828125,71506.359375,72105.65625,71688.6640625,71634.9296875,71708.0625,71894.4765625,72006.8671875,0.360107421875,0.91064453125,0.234130859375,-2.014159917831421,-0.1525878757238388,0.6408690810203552,73.33333587646484,921.0,1.0
1043.508841,74859.0390625,74952.9140625,75554.3515625,75135.484375,75081.2109375,75155.1484375,75341.65625,75454.3046875,0.36083984375,0.90966796875,0.232666015625,-2.014159917831421,-0.2746581733226776,0.5187987685203552,73.33333587646484,922.0,1.0
1043.5120136,73354.2265625,73447.65625,74047.578125,73629.9609375,73575.8671875,73649.359375,73835.859375,73948.15625,0.359619140625,0.908447265625,0.2333984375,-1.9836424589157104,-0.1831054538488388,0.5187987685203552,73.33333587646484,923.0,1.0
1043.5120199,69847.1484375,69939.1484375,70537.1015625,70121.4453125,70067.625,70140.1328125,70326.90625,70439.203125,0.359619140625,0.909423828125,0.234375,-1.9836424589157104,-0.1831054538488388,0.4882812201976776,73.33333587646484,924.0,1.0
1043.5139714,71023.8359375,71116.1875,71715.3984375,71298.7578125,71244.671875,71317.625,71504.3046875,71616.6015625,0.3583984375,0.909423828125,0.236083984375,-2.014159917831421,-0.2746581733226776,0.4577636420726776,73.33333587646484,925.0,1.0
1043.5164026,74812.546875,74905.9765625,75507.6796875,75088.9921875,75034.2734375,75108.484375,75294.8984375,75407.546875,0.358642578125,0.907958984375,0.23486328125,-1.9531248807907104,-0.2136230319738388,0.4272460639476776,73.33333587646484,926.0,1.0
1043.5189684,74244.453125,74337.8828125,74938.96875,74520.71875,74466.09375,74539.9453125,74726.4453125,74839.1875,0.35888671875,0.908447265625,0.2333984375,-1.8920897245407104,-0.2136230319738388,0.5798339247703552,73.33333587646484,927.0,1.0
1043.5226441,70514.8359375,70607.1953125,71205.6015625,70789.140625,70735.5,70808.453125,70995.3125,71107.4296875,0.359619140625,0.91162109375,0.232177734375,-1.8920897245407104,-0.1220703050494194,0.5798339247703552,73.33333587646484,928.0,1.0
1043.5320122,70724.859375,70816.859375,71415.5234375,70999.0703125,70945.6015625,71018.46875,71205.1484375,71317.0,0.356689453125,0.909912109375,0.23486328125,-1.8920897245407104,-0.1220703050494194,0.5798339247703552,73.33333587646484,929.0,1.0
1043.5320193,74608.609375,74701.9453125,75303.5703125,74884.9609375,74830.3359375,74904.6328125,75091.046875,75203.4296875,0.35791015625,0.91015625,0.238525390625,-1.9226073026657104,-0.1831054538488388,0.6713866591453552,73.33333587646484,930.0,1.0
1043.5339696,75020.5078125,75113.84375,75715.734375,75296.7734375,75242.140625,75316.53125,75502.8515625,75615.5078125,0.357421875,0.909912109375,0.239013671875,-1.8920897245407104,-0.1831054538488388,0.7019042372703552,73.33333587646484,931.0,1.0
1043.5401468,71320.21875,71412.3984375,72011.6015625,71594.6953125,71541.140625,71613.921875,71800.6015625,71913.078125,0.357666015625,0.90869140625,0.24072265625,-1.8920897245407104,-0.0915527269244194,0.6713866591453552,73.33333587646484,932.0,1.0
1043.5494841,70554.625,70646.71875,71245.3828125,70828.75,70775.640625,70848.2421875,71034.828125,71147.3046875,0.356689453125,0.908935546875,0.236572265625,-1.9226073026657104,-0.1831054538488388,0.6103515028953552,73.33333587646484,933.0,1.0
1043.5494922,74281.734375,74374.984375,74976.515625,74558.0,74503.8203125,74577.5859375,74764.265625,74876.9140625,0.358154296875,0.908447265625,0.23779296875,-1.9226073026657104,-0.1831054538488388,0.6713866591453552,73.33333587646484,934.0,1.0
1043.5520141,75654.671875,75748.546875,76350.703125,75931.6484375,75877.0234375,75951.5859375,76137.9140625,76250.296875,0.359375,0.91064453125,0.237060546875,-1.9531248807907104,-0.2441406100988388,0.5798339247703552,73.33333587646484,935.0,1.0
1043.5520208,72231.2734375,72324.171875,72923.734375,72506.203125,72452.375,72526.140625,72712.640625,72824.671875,0.36083984375,0.91015625,0.238037109375,-2.044677495956421,-0.2746581733226776,0.5798339247703552,73.33333587646484,936.0,1.0
1043.5601402,70542.2890625,70634.5546875,71232.953125,70816.40625,70763.3046875,70836.078125,71022.1328125,71135.1484375,0.35791015625,0.91015625,0.235107421875,-2.044677495956421,-0.1525878757238388,0.7019042372703552,73.33333587646484,937.0,1.0
